Episode,Winner,Duration,RemainingHealth
1,Player2,5.46,80
2,Player2,10.20,80
3,Player2,16.02,100
4,Player2,24.12,60
5,Player2,31.50,40
6,Player2,38.70,60
7,Player2,49.26,100
8,Player2,53.28,60
9,Player2,58.32,60
10,Player2,66.72,80
11,Player2,75.90,80
12,Player2,81.36,60
13,Player2,84.84,60
1,Player2,60.00,100
3,Player2,60.00,80
5,Player2,60.00,100
7,Player2,60.00,40
9,Player1,60.00,100
11,Player1,60.00,100
13,Player1,60.00,100
15,Draw,60.00,80
17,Player1,60.00,60
19,Draw,60.00,100
21,Draw,60.00,100
23,Player2,60.00,80
25,Player1,60.00,100
27,Draw,60.00,100
29,Player2,60.00,100
31,Draw,60.00,80
33,Player2,60.00,100
35,Player2,60.00,60
37,Player2,60.00,60
39,Player2,60.00,100
41,Draw,60.00,100
43,Draw,60.00,100
45,Draw,60.00,100
47,Draw,60.00,100
49,Draw,60.00,100
51,Draw,60.00,100
53,Draw,60.00,100
55,Draw,60.00,100
57,Draw,60.00,100
59,Draw,60.00,100
61,Draw,60.00,100
63,Draw,60.00,100
65,Draw,60.00,100
67,Draw,60.00,100
69,Draw,60.00,100
71,Draw,60.00,100
73,Draw,60.00,100
75,Draw,60.00,100
77,Draw,60.00,100
79,Draw,60.00,100
81,Draw,60.00,100
83,Draw,60.00,100
85,Draw,60.00,100
87,Draw,60.00,100
89,Draw,60.00,100
91,Draw,60.00,100
93,Draw,60.00,100
95,Draw,60.00,100
97,Draw,60.00,100
99,Draw,60.00,100
101,Draw,60.00,100
103,Draw,60.00,100
105,Draw,60.00,100
107,Draw,60.00,100
109,Draw,60.00,100
111,Draw,60.00,100
113,Draw,60.00,100
115,Draw,60.00,100
117,Draw,60.00,100
119,Draw,60.00,100
121,Draw,60.00,100
123,Draw,60.00,100
125,Draw,60.00,100
127,Draw,60.00,100
129,Draw,60.00,100
131,Draw,60.00,100
133,Draw,60.00,100
135,Draw,60.00,100
137,Draw,60.00,100
139,Draw,60.00,100
141,Draw,60.00,100
143,Draw,60.00,100
145,Draw,60.00,100
147,Draw,60.00,100
149,Draw,60.00,100
151,Draw,60.00,100
153,Draw,60.00,100
155,Draw,60.00,100
157,Draw,60.00,100
159,Draw,60.00,100
161,Draw,60.00,100
163,Draw,60.00,100
165,Draw,60.00,100
167,Draw,60.00,100
169,Draw,60.00,100
171,Draw,60.00,100
173,Draw,60.00,100
175,Draw,60.00,100
177,Draw,60.00,100
179,Draw,60.00,100
181,Draw,60.00,100
183,Draw,60.00,100
185,Draw,60.00,100
187,Draw,60.00,100
189,Draw,60.00,100
191,Draw,60.00,100
193,Draw,60.00,100
195,Draw,60.00,100
197,Draw,60.00,100
199,Draw,60.00,100
202,Draw,60.00,100
204,Draw,60.00,100
206,Draw,60.00,100
208,Draw,60.00,100
210,Draw,60.00,100
212,Draw,60.00,100
214,Draw,60.00,100
216,Draw,60.00,100
218,Draw,60.00,100
1,Player2,60.00,100
3,Draw,60.00,80
5,Player2,60.00,100
7,Draw,60.00,40
9,Draw,60.00,80
11,Player2,60.00,100
13,Player1,60.00,80
15,Draw,60.00,80
17,Draw,60.00,40
19,Player2,60.00,100
21,Player2,60.00,100
23,Player1,60.00,80
25,Player2,60.00,80
29,Player1,60.00,100
31,Draw,60.00,100
33,Draw,60.00,80
35,Draw,60.00,60
37,Player1,60.00,100
39,Player1,60.00,100
41,Player1,60.00,80
43,Draw,60.00,60
45,Player2,2639.34,80
47,Player2,60.00,80
49,Draw,60.00,80
51,Draw,60.00,80
53,Draw,60.00,100
55,Player1,60.00,100
57,Player2,3317.34,20
59,Draw,60.00,100
61,Draw,60.00,100
63,Draw,60.00,100
65,Draw,60.00,100
67,Draw,60.00,100
69,Draw,60.00,100
71,Draw,60.00,100
73,Draw,60.00,100
75,Draw,60.00,100
77,Draw,60.00,100
79,Draw,60.00,100
81,Draw,60.00,100
83,Draw,60.00,100
85,Draw,60.00,100
1,Player2,60.00,100
3,Player2,60.00,80
5,Draw,60.00,100
7,Player1,60.00,60
9,Player1,60.00,100
11,Player2,60.00,100
13,Player1,60.00,80
15,Player1,60.00,100
17,Player1,60.00,60
19,Player1,60.00,100
21,Draw,60.00,100
23,Draw,60.00,100
25,Player1,60.00,100
27,Draw,60.00,100
29,Draw,60.00,80
31,Player1,60.00,100
33,Player2,60.00,100
36,Player2,60.00,60
38,Draw,60.00,100
40,Player2,60.00,80
42,Player2,60.00,80
44,Player2,2602.56,60
46,Draw,60.00,20
48,Player2,60.00,100
50,Player2,60.00,100
52,Draw,60.00,80
54,Player2,60.00,80
56,Player2,60.00,100
58,Player2,60.00,100
60,Player1,60.00,60
62,Player2,60.00,60
64,Player2,60.00,100
66,Player2,3902.70,80
68,Draw,60.00,100
70,Player1,60.00,80
72,Player2,60.00,100
74,Player1,60.00,100
76,Draw,60.00,80
78,Player2,60.00,60
80,Player2,60.00,100
82,Player2,4835.67,80
84,Player2,60.00,40
86,Player2,60.00,100
88,Player1,60.00,100
90,Player2,60.00,80
92,Player1,60.00,100
94,Player2,60.00,60
96,Player1,60.00,40
98,Draw,60.00,100
100,Player2,60.00,100
102,Draw,60.00,100
104,Draw,60.00,20
106,Draw,60.00,60
108,Player1,60.00,80
110,Player2,60.00,100
112,Player2,60.00,100
114,Draw,60.00,100
116,Player2,60.00,60
118,Player2,60.00,60
120,Player1,60.00,100
122,Player1,60.00,80
124,Draw,60.00,80
126,Player2,60.00,60
128,Draw,60.00,100
130,Draw,60.00,80
132,Player2,60.00,100
134,Player2,7915.56,60
136,Player1,60.00,80
138,Player2,8138.94,60
140,Player2,60.00,80
142,Player1,60.00,80
144,Draw,60.00,20
147,Player2,60.00,60
149,Draw,60.00,40
151,Player1,60.00,40
152,Player2,8960.70,20
154,Player1,60.00,40
155,Player2,9107.67,80
157,Player2,9175.14,20
159,Player1,60.00,100
161,Draw,60.00,60
163,Player2,60.00,60
165,Player1,60.00,60
167,Player2,60.00,100
169,Player2,9867.36,80
170,Player2,9905.10,60
172,Player1,60.00,60
174,Player1,60.00,60
176,Player2,10261.92,40
178,Draw,60.00,60
180,Player2,60.00,100
182,Player2,60.00,80
183,Player2,10663.56,80
185,Player2,60.00,80
187,Draw,60.00,80
189,Draw,60.00,60
191,Player1,60.00,80
193,Player2,60.00,40
195,Player1,60.00,60
197,Player2,11502.36,60
199,Player1,60.00,100
201,Player2,60.00,40
202,Player2,11732.01,80
204,Player1,60.00,100
209,Player2,12098.34,80
211,Player1,60.00,60
213,Player2,60.00,100
215,Player1,60.00,40
216,Player2,12504.15,20
218,Player2,12585.87,40
222,Player1,60.00,80
224,Player1,60.00,80
225,Player2,12962.13,60
227,Player1,60.00,80
228,Player2,13138.68,60
229,Player2,13166.67,40
231,Player2,60.00,100
234,Player1,60.00,40
236,Player2,13580.67,40
237,Player2,13631.01,20
239,Player1,60.00,40
241,Player2,60.00,60
243,Player1,60.00,80
245,Player2,60.00,60
247,Player1,60.00,60
249,Player2,60.00,60
252,Player1,60.00,60
253,Player2,14547.36,60
255,Player2,60.00,80
256,Player2,14713.71,20
257,Player2,14772.36,60
259,Player2,60.00,60
261,Player2,60.00,80
265,Player2,15154.02,60
267,Draw,60.00,20
269,Player2,60.00,80
271,Player1,60.00,60
273,Player2,15609.45,80
275,Player2,15701.01,60
277,Player1,60.00,80
278,Player2,15866.07,80
279,Player2,15918.36,20
281,Player2,16034.70,60
283,Player2,16153.68,60
286,Player2,60.00,100
288,Player2,60.00,80
289,Player2,16419.45,60
290,Player2,16457.49,20
293,Player2,16584.99,20
295,Player1,60.00,40
297,Player2,60.00,60
299,Draw,60.00,20
301,Player1,60.00,40
304,Player2,60.00,60
305,Player2,17297.70,40
306,Player2,17352.81,40
309,Draw,60.00,60
311,Player1,60.00,60
312,Player2,17651.34,60
313,Player2,17682.09,20
315,Player2,17773.02,20
317,Player2,60.00,60
319,Player2,18001.77,40
321,Player2,60.00,40
322,Player2,18136.71,60
324,Player2,60.00,100
326,Player1,60.00,80
328,Player1,60.00,40
330,Player2,60.00,80
332,Player2,60.00,100
334,Player2,60.00,60
336,Player2,18893.43,20
338,Player1,60.00,80
339,Player2,19060.95,20
341,Player2,60.00,80
343,Draw,60.00,80
346,Player2,19434.38,20
351,Player2,19591.68,80
353,Player2,60.00,100
354,Player2,19742.72,20
355,Player2,19784.06,60
356,Player2,19806.69,40
357,Player2,19866.75,40
359,Player2,19939.22,40
361,Player1,60.00,60
362,Player2,20042.01,20
364,Draw,60.00,60
366,Player1,60.00,80
367,Player2,20313.36,60
369,Player2,60.00,60
371,Player1,60.00,80
372,Player2,20604.69,60
374,Player2,60.00,80
381,Draw,60.00,40
384,Player2,21111.09,40
386,Player2,60.00,60
387,Player2,21243.36,80
389,Player2,21341.06,40
392,Player2,21482.01,80
394,Player2,21586.68,40
396,Draw,60.00,80
398,Player1,60.00,40
400,Player2,21891.36,20
403,Player2,60.00,60
404,Player2,22085.19,60
406,Player1,60.00,60
408,Draw,60.00,40
412,Player2,22409.96,60
414,Player2,22516.67,60
416,Player2,22583.79,80
417,Player2,22634.37,20
419,Player2,22721.37,60
421,Player1,60.00,60
423,Player1,60.00,60
424,Player2,23002.11,100
425,Player2,23026.04,40
427,Player1,60.00,80
430,Player1,60.00,60
431,Player2,23363.06,40
438,Player2,23661.92,20
440,Player2,23740.34,40
441,Player2,23772.35,40
443,Player2,23814.08,40
445,Player2,23904.68,60
449,Player2,24052.73,40
452,Player2,24144.02,40
454,Player1,60.00,40
456,Player2,24355.01,80
458,Player2,24458.09,20
460,Player1,60.00,40
462,Player1,60.00,100
464,Player1,60.00,80
468,Draw,60.00,60
471,Draw,60.00,40
472,Player2,25151.33,60
474,Player2,25266.68,60
475,Player2,25308.35,60
477,Player2,25386.53,40
478,Player2,25436.09,20
481,Player2,25565.69,20
482,Player2,25587.02,60
484,Player2,60.00,60
486,Player1,60.00,60
490,Player2,25988.45,80
492,Player1,60.00,80
495,Draw,60.00,20
497,Player1,60.00,40
499,Player1,60.00,80
501,Draw,60.00,20
502,Player2,26644.67,60
504,Player2,26712.68,80
506,Draw,60.00,20
510,Player2,26970.35,40
511,Player2,26999.69,60
513,Draw,60.00,20
515,Player2,27212.45,40
517,Player2,27310.13,20
519,Player2,27382.34,40
520,Player2,27427.67,20
523,Player2,27579.35,60
525,Player2,27671.39,40
529,Player2,27794.03,40
531,Draw,60.00,100
537,Player2,28160.00,80
541,Player2,28290.17,60
543,Player2,28404.02,40
544,Player2,28414.73,40
545,Player2,28442.69,40
547,Player2,28543.67,40
548,Player2,28573.13,20
550,Player2,28634.69,60
552,Player2,60.00,40
554,Player2,28860.35,40
556,Player2,28919.69,60
560,Player2,29087.36,60
561,Player2,29143.34,40
564,Player2,29288.69,60
567,Player2,29432.03,20
568,Player2,29463.05,20
571,Player2,29524.34,40
575,Player2,29691.02,80
578,Player2,29781.83,20
580,Player1,60.00,40
582,Player2,29992.85,80
583,Player2,30006.89,60
585,Player2,30081.71,60
588,Player2,60.00,40
589,Player2,30251.69,80
590,Player2,30305.00,60
592,Draw,60.00,40
593,Player2,30446.75,40
594,Player2,30480.41,80
596,Player2,30576.02,40
598,Player2,30679.37,40
599,Player2,30720.68,20
600,Player2,30773.15,20
